identifier,desc,effect,prev,cost,maxLevel,unlocked,value,comment
holdItemCount,hold item count +{0},holdItemCount,,1,1,1,1,
holdItemCount2,hold item count +{0},holdItemCount,holdItemCount,4,2,1,1,
holdItemCount3,hold item count +{0},holdItemCount,holdItemCount2,32,2,1,1,
holdItemCount4,hold item count +{0},holdItemCount,holdItemCount3,128,2,1,1,
time,total game time increase {0},time,holdItemCount,4,2,1,2,
hitDamage,hit damage +{0},hitDamage,holdItemCount,8,2,1,1,
jumpDistance,jump distance +{0},jumpDistance,moveSpeed,32,1,1,1,
foodGenerate,food generate speed increase +{0}%,foodGenerate,startFood,4,2,1,50,
foodGenerate,food generate speed increase +{0}%,foodGenerate,startFood,32,2,1,50,
,,,,,,,,
passBorder,can move through the border,passBorder,jumpDistance,64,1,1,1,
enemyFood,killed enemy drop +{0} food,enemyFood,hitDamage,16,3,1,1,
enemyFood2,killed enemy drop +{0} food,enemyFood,enemyFood,64,3,1,1,
,,,,,,,,
machineCollect,randomly place {0} machine in the map which will collect adjacent tiles food every {0} seconds ,machineCollect,foodGenerate,16,1,1,1,
bonusGenerate,"when generate food, {0}% chance generate an extra one",bonusGenerate,foodGenerate,16,3,1,10,
machineCollect2,randomly place {0} machine in the map which will collect adjacent tiles food every {0} seconds ,machineCollect,machineCollect,64,1,1,1,
,,,,,,,,
time2,total game time increase {0},time,time,16,3,1,3,
,,,,,,,,
startFood,start food +{0},startFood,holdItemCount2,8,2,1,1,
finalSafe,"if in spaceship when time is out, final reward +{0}%",finalSafe,startFood,8,2,1,10,
fullReward,"when deliver to spaceship with full cariage, +{0} reward",fullReward,finalSafe,16,2,1,1,
lastMinute,"if count down time below 5, all food collected x2",lastMinute,finalSafe,16,1,1,,
moveSpeed,move speed + {0}%,moveSpeed,holdItemCount,8,1,1,30,
moveSpeed2,move speed + {0}%,moveSpeed,jumpDistance,16,1,1,40,
moveSpeed3,move speed + {0}%,moveSpeed,passBorder,64,1,1,50,
time3,total game time increase {0},time,time2,64,3,1,3,
hitDamage2,hit damage +{0},hitDamage,hitDamage,32,2,1,1,
,,,,,,,,
jumpDistance2,jump distance +{0},jumpDistance,jumpDistance,128,1,1,1,
time4,total game time increase {0},time,time3,256,3,1,3,
,,,,,,,,
dash,long press a direction for 0.5 second to dash until meet hole or enemy,dash,jumpDistance2,128,1,1,1,
jumpAttack,"if jump destination is an enemy, be able to attack = damage x 2 and jump back",jumpAttack,jumpDistance2,128,1,1,1,
dashAttack,"if dash destination is an enemy in front, be able to attack = damage x 2",dashAttack,dash,128,1,1,1,
homeAttack,"when deliver food to spaceship, attack all enemy = damage",homeAttack,enemyFood,128,1,1,1,
attackAttract,"when hit an enemy, an adjacent food(if exist) fly to the player.",attackAttract,enemyFood,128,1,1,1,
,,,,,,,,
,,,,,,,,
foodCollectAmount,each collected food count +{0},foodCollectAmount,,16,1,0,1,
